label	GT_code	colors
outside_roi	0	#000000
tumor	1	#FF8C00
stroma	2	#DEB887
lymphocytic_infiltrate	3	#5F9EA0
necrosis_or_debris	4	#2F4F4F
glandular_secretions	5	#808080
blood	6	#FF0000
exclude	7	#00008B
metaplasia_NOS	8	#7FFFD4
fat	9	#8B4513
plasma_cells	10	#00FFFF
other_immune_infiltrate	11	#6495ED
mucoid_material	12	#F5DEB3
normal_acinus_or_duct	13	#FFD700
lymphatics	14	#008000
undetermined	15	#A9A9A9
nerve	16	#FFFF00
skin_adnexa	17	#9932CC
blood_vessel	18	#C71585
angioinvasion	19	#DDA0DD
dcis	20	#8B008B
other	21	#C0C0C0
